"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","Redspider_harvest1_5","carotenoidtotal","betacarotenoid_nirs","branch_number","DM_gravity","DM_nirs","DM_raw","height_1st_branch","yield_ha","shoot_weight_plot","root_weight_plot","frogskin1_5","HCN_linamarase_10mon","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","mites_3mon","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","cook_time_10mon","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha"
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1181_125",1,125,6,2,"test"," (Operator: lizbethpino, Time: )","BRA1181","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,13.76,2,0.8,0.65,NA,NA,39.85,NA,NA,NA,NA,NA,1,100.1,3,1,NA,NA,NA,5,4,NA,NA,2,NA,2,NA,5,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1243_143",1,143,7,17,"test"," (Operator: lizbethpino, Time: )","BRA1243","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,18.48,1,0.47,0.2,NA,NA,40.29,NA,NA,NA,NA,NA,1,65.89,3,1,NA,NA,NA,5,5,NA,NA,2,NA,3,NA,4,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA12_439",1,439,21,19,"test"," (Operator: lizbethpino, Time: )","BRA12","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,14.42,2,1.27,1.1,NA,NA,38.16,NA,NA,NA,NA,NA,1,69.24,3,1,NA,NA,NA,5,3,NA,NA,2,NA,1,NA,4,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1255_427",1,427,21,7,"test"," (Operator: lizbethpino, Time: )","BRA1255","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,4.44,1,-0.47,-0.44,NA,NA,28.75,NA,NA,NA,NA,NA,1,167.84,2,1,NA,NA,NA,5,5,NA,NA,2,NA,1,NA,4,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1261_71",1,71,4,14,"test"," (Operator: lizbethpino, Time: )","BRA1261","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,0.64,3,0.23,0.19,NA,NA,41.57,NA,NA,NA,NA,NA,3,333.69,2,2,NA,NA,NA,5,5,NA,NA,2,NA,2,NA,4,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1274_195",1,195,10,16,"test"," (Operator: lizbethpino, Time: )","BRA1274","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,15.33,2,0.51,0.31,NA,NA,40.96,NA,NA,NA,NA,NA,1,66.41,4,1,NA,NA,NA,5,2,NA,NA,2,NA,3,NA,2,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA130_31",1,31,2,12,"test"," (Operator: lizbethpino, Time: )","BRA130","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,7.08,2,0.58,0.49,NA,NA,38.15,NA,NA,NA,NA,NA,1,192.33,3,1,NA,NA,NA,5,4,NA,NA,2,NA,3,NA,5,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1305_93",1,93,5,9,"test"," (Operator: lizbethpino, Time: )","BRA1305","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,9.69,3,1.33,0.94,NA,NA,42.09,NA,NA,NA,NA,NA,4,39.63,4,1,NA,NA,NA,5,4,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1306_167",1,167,8,2,"test"," (Operator: lizbethpino, Time: )","BRA1306","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,12.85,2,1.5,1.08,NA,NA,35.85,NA,NA,NA,NA,NA,1,29.67,3,1,NA,NA,NA,5,4,NA,NA,2,NA,1,NA,5,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1310_314",1,314,15,20,"test"," (Operator: lizbethpino, Time: )","BRA1310","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,11.09,2,1.03,0.63,NA,NA,43.6,NA,NA,NA,NA,NA,1,138.52,3,1,NA,NA,NA,5,5,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,2,80,NA,NA
